Platform,Description,Price per listed lot,# of parts per listed lot,Lots purchased,"Final price (+shipping), (CAD)",Final price (USD),Already owned?,Comments,Link
AliExpress,WS2812 LED light strip,2.4,1,1,6.58,4.8034,No,,https://www.aliexpress.com/item/32373533705.html?spm=a2g0o.productlist.main.1.66f61a600GiJwF&algo_pvid=015a4dff-941c-4c39-9df1-a993819d38cc&algo_exp_id=015a4dff-941c-4c39-9df1-a993819d38cc-0&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.46%212.38%21%21%211.77%211.71%21%402101d9ef17517793092852879e8404%2112000022231256994%21sea%21CA%216006689702%21X&curPageLogUid=hNWXcFroV4hK&utparam-url=scene%3Asearch%7Cquery_from%3A
AliExpress,MicroSD card interface,1.5,1,1,5.66,4.1318,No,,https://www.aliexpress.com/p/trade/confirm.html?objectId=1005006297873892&from=aliexpress&countryCode=CA&shippingCompany=CAINIAO_FULFILLMENT_STD&provinceCode=903766670000000000&cityCode=903766678793000000&aeOrderFrom=main_detail&skuAttr=14%3A350852%23Mini%20TF%20Module&skuId=12000036661666465&skucustomAttr=&quantity=1&spm=a2g0o.detail.0.0&curPageLogUid=1752035931974_74SEhn&pdpBuyParams=%7B%7D
AliExpress,0.91 inch OLED display (text),3.26,1,1,7.42,5.4166,No,,https://www.aliexpress.com/item/1005006351390199.html?spm=a2g0o.productlist.main.4.75d271c8A4h5UU&aem_p4p_detail=202507071556468528985957071360006690402&algo_pvid=c341d98b-bc23-4ce8-a1c4-a266e6b702c1&algo_exp_id=c341d98b-bc23-4ce8-a1c4-a266e6b702c1-3&pdp_ext_f=%7B%22order%22%3A%22107%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%213.25%211.38%21%21%2116.75%217.13%21%402103010b17519290069012856ed654%2112000036858011577%21sea%21CA%210%21ABX&curPageLogUid=9CheD9jKtH1x&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507071556468528985957071360006690402_1
Aliexpress,1.8 inch OLED display (image),4.31,1,1,8.47,6.1831,No,,https://www.aliexpress.com/item/1005006139989470.html?spm=a2g0o.productlist.main.4.254c67f44oNKx2&aem_p4p_detail=202507052122594683999351523440004523093&algo_pvid=1f8052ea-f990-4a57-a0c3-61848c2b0704&algo_exp_id=1f8052ea-f990-4a57-a0c3-61848c2b0704-3&pdp_ext_f=%7B%22order%22%3A%221078%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.29%214.13%21%21%2122.12%2121.32%21%402103010e17517757791736899e99f6%2112000047162642428%21sea%21CA%216006689702%21X&curPageLogUid=ihehHPqX0lXJ&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507052122594683999351523440004523093_1
AliExpress,Small push buttons,1.83,5,1,5.98,4.3654,No,,https://www.aliexpress.com/item/1005009251091250.html?spm=a2g0o.productlist.main.18.58901113ql2Ssw&aem_p4p_detail=202507082135551025678563543900000885317&algo_pvid=fa00eec7-599f-4006-ad48-0f22fcd69012&algo_exp_id=fa00eec7-599f-4006-ad48-0f22fcd69012-17&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.20%211.83%21%21%2111.29%219.39%21%402103246617520357556451162e7e9a%2112000048478092771%21sea%21CA%216006689702%21X&curPageLogUid=tp6ixPhXj8Jc&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507082135551025678563543900000885317_5
Any,"Resistors (330 ohms, 47k ohms)",N/A,N/A,N/A,N/A,N/A,Yes,I have some common resistors and wires,
Any,MicroSD card,N/A,N/A,N/A,N/A,N/A,Yes,I bought one from HK,
JLPCB,PCB board,11.72,5 (can't change to lower),1,29.72,21.6956,No," + 31.63 shipping, -13.63 coupon. Can't add link so image instead.",
AliExpress,RPI Pico,4.21,1,1,4.21,3.0733,No,,https://www.aliexpress.com/item/1005006087823796.html?spm=a2g0o.productlist.main.10.424d71d4aDnL4g&aem_p4p_detail=202507090050116845289089911540008499741&algo_pvid=430d95fa-06e2-456e-8f08-69994c5cb821&algo_exp_id=430d95fa-06e2-456e-8f08-69994c5cb821-9&pdp_ext_f=%7B%22order%22%3A%22562%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.21%214.21%21%21%2121.59%2121.59%21%40210337c117520474112371654eca3b%2112000044713099471%21sea%21CA%216006689702%21X&curPageLogUid=hC8eCzi5uT43&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507090050116845289089911540008499741_3
,,,,,,,,,
,,,,"Total (CAD, USD):",68.04,49.6692,,,
